experiment,context,sigma_label,method,count,alignment_mean,M_trace,M_mu,T,mu_norm_sigma,mu_norm_sigma_inv,alignment_metric,panel,d,n,M_iso,mu_norm_l2,alpha,mu_direction
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.997402924879278,0.001005655713357,6.293961408377439,38.63640198753323,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,20000.0,1000.0,,6.293961408377439,,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.355673061091086,1.3702579396506045,1.0,0.1199866526810037,1.0,1.0,A_svm_wstar,,,,,1.0,0.2,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.6069857779733571,1.3702579396506045,2.0,1.4116492412457804,2.0,2.0,A_svm_wstar,,,,,2.0,0.2,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.8392172007544364,1.3702579396506045,4.0,10.970992709438548,4.0,4.0,A_svm_wstar,,,,,4.0,0.2,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9168782217839079,1.3702579396506045,6.0,29.907052526642637,6.0,6.0,A_svm_wstar,,,,,6.0,0.2,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9493736508327781,1.3702579396506045,8.0,57.41981455818143,8.0,8.0,A_svm_wstar,,,,,8.0,0.2,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9655717422109495,1.3702579396506045,10.0,93.16689721362116,10.0,10.0,A_svm_wstar,,,,,10.0,0.2,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9752679463219491,1.3392023207140478,12.0,137.02118710125893,12.0,12.0,A_svm_wstar,,,,,12.0,0.2,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9178281254906396,0.2813858934849839,1.0,0.475102879237446,1.0,1.0,A_svm_wstar,,,,,1.0,0.5,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9766495571870684,0.2813858934849839,2.0,3.13430049668621,2.0,2.0,A_svm_wstar,,,,,2.0,0.5,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9919115087312609,0.2813858934849839,4.0,14.966552722685119,4.0,4.0,A_svm_wstar,,,,,4.0,0.5,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9957996050851612,0.218538636397968,6.0,34.92808870139821,6.0,6.0,A_svm_wstar,,,,,6.0,0.5,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9970693821663236,0.163903977298476,8.0,62.91394093599615,8.0,8.0,A_svm_wstar,,,,,8.0,0.5,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9979198741997527,0.1311231818387808,10.0,98.90726533003628,10.0,10.0,A_svm_wstar,,,,,10.0,0.5,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9983430473198233,0.109269318198984,12.0,142.90360456271142,12.0,12.0,A_svm_wstar,,,,,12.0,0.5,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9407673485422976,0.0318016259616971,1.0,0.494360854932152,1.0,1.0,A_svm_wstar,,,,,1.0,0.8,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9821046601265462,0.0318016259616971,2.0,3.1854654335921424,2.0,2.0,A_svm_wstar,,,,,2.0,0.8,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9936409298527515,0.0318016259616971,4.0,15.038641776666022,4.0,4.0,A_svm_wstar,,,,,4.0,0.8,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9965563002053109,0.0246987646993696,6.0,35.00544297189005,6.0,6.0,A_svm_wstar,,,,,6.0,0.8,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9975014968408586,0.0185240735245272,8.0,62.99327505946842,8.0,8.0,A_svm_wstar,,,,,8.0,0.8,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.998167214390701,0.0148192588196218,10.0,98.98754168237063,10.0,10.0,A_svm_wstar,,,,,10.0,0.8,
exact_polynomial_spectrum_alignment,E3 polynomial signal threshold by alpha and ||mu||_2,,,20,0.9983291658808973,0.0123493823496848,12.0,142.98439979859722,12.0,12.0,A_svm_wstar,,,,,12.0,0.8,
exact_mu_eigendirection_ablation,E4 mu eigendirection by direction,,,50,0.9966472906993694,0.0235452012780011,6.293961408377439,38.61688021465653,6.293961408377439,6.293961408377439,A_svm_wstar,,,,,,,largest_eigenvector
exact_mu_eigendirection_ablation,E4 mu eigendirection by direction,,,50,0.6427892534418983,0.0318016259616971,158.6681552831272,1445.9141033854926,0.2498997694181935,246.5141624076123,A_svm_wstar,,,,,,,random
exact_mu_eigendirection_ablation,E4 mu eigendirection by direction,,,50,0.8335822370836393,0.0318016259616971,330.6252927789529,1513.0264998847808,0.1198152442518344,330.6252927789529,A_svm_wstar,,,,,,,smallest_eigenvector
