experiment,method,seed,d,n,n_over_d,sigma_type,alpha,mu_direction,mu_norm_l2,mu_norm_sigma,mu_norm_sigma_inv,trace_sigma,sigma_op_norm,sigma_fro_norm,M_trace,M_mu,T,step,alignment_to_wstar,alignment_to_ls,alignment_to_svm,loss_value,min_margin,svm_primal_violation,svm_dual_feasibility_min_alpha,svm_kkt_complementarity,svm_primal_dual_gap,support_vector_fraction,solver_status,lambda_signal,lambda_bulk,bulk_rank,bulk_random_fraction,A_svm_wstar,A_ls_wstar,A_svm_ls,gram_condition_number,r_min,prop41_condition_empirical,solver_nit,solver_success,active_set_polished,active_set_polish_iterations,panel,alpha_label,mu_norm_label
exact_polynomial_spectrum_alignment,svm,5660017,20000,100,0.005,polynomial,0.2,largest_eigenvector,10.0,10.0,10.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,10.0,93.16689721362117,NA,0.9629157812035316,0.9999999999999999,NA,NA,0.9999999999999993,6.661338147750939e-16,3.3880645255500264e-05,1.182182151940288e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.9629157812035316,0.9629157812035316,0.9999999999999999,4.494067771889979,1.6940322627750132e-05,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,10
exact_polynomial_spectrum_alignment,svm,5660018,20000,100,0.005,polynomial,0.2,largest_eigenvector,10.0,10.0,10.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,10.0,93.16689721362117,NA,0.966718086981041,0.9999999999999999,NA,NA,0.9999999999999996,4.440892098500626e-16,2.6795644080367643e-05,9.54799719985525e-20,1.734723475976807e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.966718086981041,0.966718086981041,0.9999999999999999,4.547901961972861,1.3397822040183822e-05,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,10
exact_polynomial_spectrum_alignment,svm,5660019,20000,100,0.005,polynomial,0.2,largest_eigenvector,10.0,10.0,10.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,10.0,93.16689721362117,NA,0.9652291138122384,1.0,NA,NA,0.9999999999999996,4.440892098500626e-16,4.523373548850257e-05,1.0026680196726759e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.9652291138122384,0.9652291138122384,1.0,4.55260219394798,2.2616867744251286e-05,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,10
exact_polynomial_spectrum_alignment,svm,5662000,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.9753889053620927,1.0000000000000002,NA,NA,0.9999999999999996,4.440892098500626e-16,1.2335608566043478e-05,6.754548226818983e-20,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.9753889053620927,0.9753889053620927,1.0000000000000002,5.984635895706124,6.167804283021739e-06,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662001,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.9748439583895298,0.9999986745765597,NA,NA,0.9999999999999996,4.440892098500626e-16,0.0,7.199532004629186e-20,1.734723475976807e-18,0.99,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9748439583895298,0.9748008799967258,0.9999986745765597,6.014936465268085,-4.393819601371228e-06,False,4,True,True,1,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662002,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.97561696206018,1.0,NA,NA,0.9999999999999996,4.440892098500626e-16,1.916397517010909e-05,6.087095892555975e-20,-3.469446951953614e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.97561696206018,0.97561696206018,1.0,5.995138216942998,9.581987585054546e-06,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662003,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.9733272636523801,0.9999998318759946,NA,NA,0.9999999999999993,6.661338147750939e-16,0.0,8.155214608767972e-20,0.0,0.99,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9733272636523801,0.97331359808548,0.9999998318759946,6.001218981212693,-1.5812691447771247e-06,False,4,True,True,1,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662004,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.9750047760322412,1.0,NA,NA,0.9999999999999996,4.440892098500626e-16,3.081783025252365e-05,6.080016456380849e-20,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.9750047760322412,0.9750047760322412,1.0,5.942120572719316,1.5408915126261826e-05,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662005,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.9749459307600341,1.0,NA,NA,0.9999999999999996,4.440892098500626e-16,3.6765267898713505e-05,1.2027370349943586e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.9749459307600341,0.9749459307600341,1.0,5.946136226616812,1.8382633949356753e-05,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662006,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.9760666302691954,1.0000000000000002,NA,NA,0.9999999999999993,6.661338147750939e-16,8.872198168062708e-06,1.4601096178925406e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.9760666302691954,0.9760666302691954,1.0000000000000002,5.928230754890019,4.436099084031354e-06,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662007,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.9745915590964722,1.0000000000000002,NA,NA,0.9999999999999994,5.551115123125783e-16,5.960185619052069e-06,7.06271008526797e-20,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.9745915590964722,0.9745915590964722,1.0000000000000002,5.925894035716041,2.9800928095260347e-06,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662008,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.975116796212293,1.0000000000000002,NA,NA,0.9999999999999994,5.551115123125783e-16,2.225318128637353e-05,8.103409879952741e-20,-1.734723475976807e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.975116796212293,0.975116796212293,1.0000000000000002,6.064337939624375,1.1126590643186764e-05,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,12
exact_polynomial_spectrum_alignment,svm,5662009,20000,100,0.005,polynomial,0.2,largest_eigenvector,12.0,12.0,12.0,3448.659219096236,1.0,25.167956479606996,1.3392023207140478,12.0,137.02118710125893,NA,0.9751971994716632,1.0000000000000002,NA,NA,0.9999999999999994,5.551115123125783e-16,1.7450546270161095e-05,8.868238850830389e-20,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.9751971994716632,0.9751971994716632,1.0000000000000002,5.946013873831615,8.725273135080548e-06,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,12
