experiment,method,seed,d,n,n_over_d,sigma_type,alpha,mu_direction,mu_norm_l2,mu_norm_sigma,mu_norm_sigma_inv,trace_sigma,sigma_op_norm,sigma_fro_norm,M_trace,M_mu,T,step,alignment_to_wstar,alignment_to_ls,alignment_to_svm,loss_value,min_margin,svm_primal_violation,svm_dual_feasibility_min_alpha,svm_kkt_complementarity,svm_primal_dual_gap,support_vector_fraction,solver_status,lambda_signal,lambda_bulk,bulk_rank,bulk_random_fraction,A_svm_wstar,A_ls_wstar,A_svm_ls,gram_condition_number,r_min,prop41_condition_empirical,solver_nit,solver_success,active_set_polished,active_set_polish_iterations,paired_seed
exact_mu_eigendirection_ablation,svm,3700028,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9975391405843094,0.9717412909889871,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.9065935542629553e-18,-1.3877787807814457e-17,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9975391405843094,0.9741558530939007,0.9717412909889871,196.65465750629238,-0.011224003844110517,False,21,True,True,1,3700028
exact_mu_eigendirection_ablation,svm,3700029,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9978902838511572,0.9818217341803033,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.658323228913695e-18,1.3877787807814457e-17,0.12,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9978902838511572,0.9768666926771357,0.9818217341803033,200.55334095832055,-0.011971892055752477,False,36,True,True,1,3700029
exact_mu_eigendirection_ablation,svm,3700030,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9974331094209125,0.9837574719125263,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.065107039426225e-18,0.0,0.13,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9974331094209125,0.9772378751480363,0.9837574719125263,205.73410785326274,-0.016690080355651525,False,35,True,True,1,3700030
exact_mu_eigendirection_ablation,svm,3700031,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9981308283395679,0.9784713981075304,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.0702734733642105e-18,0.0,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9981308283395679,0.9725677678209563,0.9784713981075304,197.52895097504674,-0.014042018547530493,False,32,True,True,1,3700031
exact_mu_eigendirection_ablation,svm,3700032,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9983080864400565,0.9787373685143093,NA,NA,0.9999999999999997,3.3306690738754696e-16,0.0,1.9873025763316092e-18,-1.3877787807814457e-17,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9983080864400565,0.972037779121138,0.9787373685143093,207.25069015520708,-0.013203237609365492,False,32,True,True,1,3700032
exact_mu_eigendirection_ablation,svm,3700033,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9955286335985964,0.9816904707670183,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.7096214349005558e-18,0.0,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9955286335985964,0.9726646508162415,0.9816904707670183,209.3140902514893,-0.008611826752650887,False,31,True,True,1,3700033
exact_mu_eigendirection_ablation,svm,3700034,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9976247690448146,0.9752389869676155,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.165322795929086e-18,-1.3877787807814457e-17,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9976247690448146,0.9654113232659269,0.9752389869676155,204.44350023098193,-0.01085824255629486,False,33,True,True,1,3700034
exact_mu_eigendirection_ablation,svm,3700035,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9976632617988923,0.9824173062506497,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.588449545380308e-18,1.3877787807814457e-17,0.16,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9976632617988923,0.9752163953036506,0.9824173062506497,200.17145714467816,-0.012539076664026474,False,34,True,True,1,3700035
exact_mu_eigendirection_ablation,svm,3700036,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.997133199235458,0.9778368578408225,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.024684201074003e-18,0.0,0.17,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.997133199235458,0.9737252840199165,0.9778368578408225,202.19534493002624,-0.011004819174750413,False,27,True,True,1,3700036
exact_mu_eigendirection_ablation,svm,3700037,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9971442432056377,0.974601350514892,NA,NA,1.0,0.0,0.0,2.9095703792567057e-18,0.0,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9971442432056377,0.9667547483103573,0.974601350514892,194.37111099777792,-0.015062598670615693,False,34,True,True,1,3700037
